ParticipantID,ParticipantEmail,ParticipantFirstName,ParticipantLastName,ParticipantDOB,ParticipantRole,ParticipantPassword,ParticipantPhone,ParticipantCity,ParticipantState,ParticipantZip,ParticipantSchoolOrEmployer,ParticipantFieldOfInterest,AccountCreatedDate
173,lillian.martinez185@learners.net,Lillian,Martinez,2003-05-25,p,Password173,801-829-6780,Taylorsville,UT,84002,Local Library,Arts,2021-07-20 16:14:00
174,riley.garcia186@learners.net,Riley,Garcia,2009-05-19,p,Password174,801-738-9914,Ogden,UT,84977,Retail Store,Both,2021-07-20 16:14:00
175,emma.harris187@community.org,Emma,Harris,2003-09-09,p,Password175,801-596-7116,Provo,UT,84651,Art Studio,STEM,2021-07-20 16:14:00
176,stella.jones188@learners.net,Stella,Jones,2011-01-19,p,Password176,801-872-2698,West Jordan,UT,84751,Art Studio,Arts,2021-07-20 16:14:00
177,camila.williams189@learners.net,Camila,Williams,2013-05-10,p,Password177,801-858-3868,Lehi,UT,84834,Mountain View High,Both,2021-07-20 16:14:00
178,levi.lopez190@studentmail.org,Levi,Lopez,1998-10-30,p,Password178,801-994-8498,Ogden,UT,84734,BYU,STEM,2021-07-20 16:14:00
179,mia.gonzalez191@ellarises.org,Mia,Gonzalez,2006-12-07,p,Password179,801-517-9444,Lehi,UT,84956,Community Center,Both,2021-07-20 16:14:00
180,jack.taylor192@ellarises.org,Jack,Taylor,2012-09-15,p,Password180,801-565-1783,Sandy,UT,84293,UVU,Arts,2021-07-20 16:14:00
181,avery.white193@community.org,Avery,White,2005-08-09,p,Password181,801-650-7334,Bountiful,UT,84762,North Summit High,Arts,2021-07-20 16:14:00
182,jackson.white194@learners.net,Jackson,White,2007-08-29,p,Password182,801-634-2293,Ogden,UT,84745,Local Library,STEM,2021-07-20 16:14:00
183,ethan.jackson195@learners.net,Ethan,Jackson,2004-11-15,p,Password183,801-535-5843,Logan,UT,84082,Mountain View High,Both,2021-07-20 16:14:00
184,amelia.jones197@community.org,Amelia,Jones,1998-09-13,p,Password184,801-967-3621,Draper,UT,84526,North Summit High,Both,2021-07-20 16:14:00
185,henry.williams198@studentmail.org,Henry,Williams,2006-02-14,p,Password185,801-997-7001,Ogden,UT,84242,SLCC,Both,2021-07-20 16:14:00
186,isabella.hill199@studentmail.org,Isabella,Hill,2007-12-16,p,Password186,801-579-7095,Riverton,UT,84972,Retail Store,STEM,2021-07-20 16:14:00
187,camila.king200@learners.net,Camila,King,2003-08-07,p,Password187,801-865-5566,Bountiful,UT,84322,East Ridge Middle,STEM,2021-07-20 16:14:00
188,riley.young201@community.org,Riley,Young,2013-10-16,p,Password188,801-993-5264,Logan,UT,84269,Mountain View High,STEM,2021-07-20 16:14:00
189,henry.garcia203@learners.net,Henry,Garcia,2004-07-06,p,Password189,801-266-9882,Draper,UT,84727,Startup Lab,Arts,2021-07-20 16:14:00
190,lily.lopez204@learners.net,Lily,Lopez,2001-02-11,p,Password190,801-324-4292,Pleasant Grove,UT,84230,Valley Charter,Arts,2021-07-20 16:14:00
191,sophia.white205@learners.net,Sophia,White,2011-09-23,p,Password191,801-764-3126,Riverton,UT,84823,Startup Lab,STEM,2021-07-20 16:14:00
192,harper.martin206@community.org,Harper,Martin,2010-11-23,p,Password192,801-620-7708,Spanish Fork,UT,84539,East Ridge Middle,STEM,2021-07-20 16:14:00
193,aaliyah.jones207@community.org,Aaliyah,Jones,2000-11-17,p,Password193,801-729-6644,Riverton,UT,84697,Startup Lab,Both,2021-07-20 16:14:00
194,riley.rodriguez208@community.org,Riley,Rodriguez,2009-08-15,p,Password194,801-256-3034,Pleasant Grove,UT,84933,North Summit High,Arts,2021-07-20 16:14:00
195,penelope.rodriguez210@learners.net,Penelope,Rodriguez,2011-04-11,p,Password195,801-856-3762,Ogden,UT,84515,Local Library,STEM,2021-07-20 16:14:00
196,chloe.flores211@learners.net,Chloe,Flores,1999-01-08,p,Password196,801-229-2330,Provo,UT,84846,Tech Apprenticeship,Both,2021-07-20 16:14:00
197,lucy.wilson212@community.org,Lucy,Wilson,2004-06-30,p,Password197,801-842-9938,Salt Lake City,UT,84510,Tech Apprenticeship,Arts,2021-07-20 16:14:00
198,levi.thomas213@community.org,Levi,Thomas,2001-07-18,p,Password198,801-274-1981,Murray,UT,84465,Mountain View High,Arts,2021-07-20 16:14:00
199,levi.robinson214@studentmail.org,Levi,Robinson,2014-02-10,p,Password199,801-347-6121,Lehi,UT,84622,UVU,Both,2021-07-20 16:14:00
200,kennedy.sanchez215@studentmail.org,Kennedy,Sanchez,2005-02-27,p,Password200,801-775-2739,Draper,UT,84528,Valley Charter,Arts,2021-07-20 16:14:00
201,avery.moore216@community.org,Avery,Moore,2004-07-05,p,Password201,801-299-1829,West Jordan,UT,84145,SLCC,Both,2021-07-20 16:14:00
202,oliver.thomas217@studentmail.org,Oliver,Thomas,2002-04-05,p,Password202,801-791-6123,Lehi,UT,84957,Retail Store,STEM,2021-07-20 16:14:00
203,jackson.allen218@community.org,Jackson,Allen,1998-07-09,p,Password203,801-515-9148,Spanish Fork,UT,84901,East Ridge Middle,Arts,2021-07-20 16:14:00
204,mateo.robinson219@studentmail.org,Mateo,Robinson,1999-02-19,p,Password204,801-561-1797,Sandy,UT,84598,BYU,Arts,2021-07-20 16:14:00
205,jack.jackson220@ellarises.org,Jack,Jackson,2014-04-26,p,Password205,801-337-5333,Logan,UT,84442,UVU,Arts,2021-07-20 16:14:00
206,natalie.williams221@community.org,Natalie,Williams,2006-02-17,p,Password206,801-775-4189,Provo,UT,84584,Cafe Rio,Arts,2021-07-20 16:14:00
207,evelyn.harris222@community.org,Evelyn,Harris,2000-11-20,p,Password207,801-838-2946,Layton,UT,84846,East Ridge Middle,Arts,2021-07-20 16:14:00
208,zoe.perez223@learners.net,Zoe,Perez,2007-01-02,p,Password208,801-816-9341,St. George,UT,84204,Cafe Rio,STEM,2021-07-20 16:14:00
209,mia.williams224@studentmail.org,Mia,Williams,2008-04-01,p,Password209,801-685-9508,Lehi,UT,84824,North Summit High,Both,2021-07-20 16:14:00
210,daniel.rodriguez225@learners.net,Daniel,Rodriguez,2011-04-26,p,Password210,801-602-5902,Lehi,UT,84167,UVU,Both,2021-07-20 16:14:00
211,daniel.wright226@community.org,Daniel,Wright,2005-06-06,p,Password211,801-217-7035,Murray,UT,84487,Tech Apprenticeship,STEM,2021-07-20 16:14:00
212,oliver.nguyen227@learners.net,Oliver,Nguyen,2012-09-14,p,Password212,801-685-5350,Salt Lake City,UT,84612,Retail Store,Both,2021-07-20 16:14:00
213,madison.brown228@community.org,Madison,Brown,2001-04-25,p,Password213,801-844-7229,Orem,UT,84537,Community Center,Both,2021-07-20 16:14:00
214,addison.williams229@ellarises.org,Addison,Williams,2007-05-24,p,Password214,801-651-6139,Sandy,UT,84020,North Summit High,Arts,2021-07-20 16:14:00
215,grace.clark230@community.org,Grace,Clark,2002-08-26,p,Password215,801-341-9498,Provo,UT,84723,Cafe Rio,Arts,2021-07-20 16:14:00
216,levi.king231@community.org,Levi,King,2009-12-16,p,Password216,801-377-8531,Lehi,UT,84980,UVU,Both,2021-07-20 16:14:00
217,stella.taylor232@community.org,Stella,Taylor,2010-07-08,p,Password217,801-452-5571,Sandy,UT,84981,BYU,STEM,2021-07-20 16:14:00
218,brooklyn.jackson233@studentmail.org,Brooklyn,Jackson,2010-07-28,p,Password218,801-691-6714,Spanish Fork,UT,84325,Startup Lab,Both,2021-07-20 16:14:00
219,penelope.jackson234@ellarises.org,Penelope,Jackson,2001-04-14,p,Password219,801-604-6654,Bountiful,UT,84918,BYU,STEM,2021-07-20 16:14:00
220,aurora.garcia235@learners.net,Aurora,Garcia,2002-10-19,p,Password220,801-462-8849,Riverton,UT,84672,Valley Charter,Both,2021-07-20 16:14:00
221,paisley.scott236@learners.net,Paisley,Scott,2003-06-10,p,Password221,801-830-4920,St. George,UT,84112,Westview High,Both,2021-07-20 16:14:00
222,mason.anderson237@studentmail.org,Mason,Anderson,2014-02-02,p,Password222,801-623-6411,Provo,UT,84103,Mountain View High,STEM,2021-07-20 16:14:00
223,camila.smith238@studentmail.org,Camila,Smith,2012-08-04,p,Password223,801-687-8822,Taylorsville,UT,84669,Valley Charter,Arts,2021-07-20 16:14:00
224,claire.jackson239@ellarises.org,Claire,Jackson,2010-01-01,p,Password224,801-787-4804,Ogden,UT,84668,Art Studio,Both,2021-07-20 16:14:00
225,isabella.lopez240@community.org,Isabella,Lopez,2009-02-10,p,Password225,801-237-7504,Orem,UT,84957,North Summit High,Both,2021-07-20 16:14:00
226,savannah.williams241@ellarises.org,Savannah,Williams,2005-07-07,p,Password226,801-817-2758,Murray,UT,84582,BYU,Arts,2021-07-20 16:14:00
227,ethan.king242@community.org,Ethan,King,2004-02-14,p,Password227,801-716-8668,St. George,UT,84872,Valley Charter,STEM,2021-07-20 16:14:00
228,skylar.hernandez243@community.org,Skylar,Hernandez,2014-07-10,p,Password228,801-390-1230,Layton,UT,84736,UVU,Arts,2021-07-20 16:14:00
229,zoey.lopez244@community.org,Zoey,Lopez,2006-12-28,p,Password229,801-535-2421,Taylorsville,UT,84528,Tech Apprenticeship,STEM,2021-07-20 16:14:00
230,riley.rodriguez245@community.org,Riley,Rodriguez,2003-11-07,p,Password230,801-454-1111,Lehi,UT,84959,SLCC,STEM,2021-07-20 16:14:00
231,lucas.moore246@learners.net,Lucas,Moore,2003-11-13,p,Password231,801-940-1187,Murray,UT,84597,Tech Apprenticeship,Arts,2021-07-20 16:14:00
232,lillian.brown247@ellarises.org,Lillian,Brown,2013-05-22,p,Password232,801-363-7642,Riverton,UT,84315,Cafe Rio,Both,2021-07-20 16:14:00
233,bella.davis248@learners.net,Bella,Davis,2000-12-30,p,Password233,801-426-4590,Draper,UT,84630,Mountain View High,STEM,2021-07-20 16:14:00
234,hannah.thomas250@ellarises.org,Hannah,Thomas,1999-10-02,p,Password234,801-740-6927,Pleasant Grove,UT,84458,Startup Lab,Both,2021-07-20 16:14:00
235,ella.brown251@studentmail.org,Ella,Brown,2007-11-29,p,Password235,801-535-9525,St. George,UT,84169,East Ridge Middle,Both,2021-07-20 16:14:00
236,grace.nguyen252@community.org,Grace,Nguyen,1999-04-01,p,Password236,801-722-8298,Ogden,UT,84921,Mountain View High,STEM,2021-07-20 16:14:00
237,daniel.clark253@community.org,Daniel,Clark,2014-03-23,p,Password237,801-673-6049,Provo,UT,84573,Westview High,Arts,2021-07-20 16:14:00
238,eleanor.smith254@studentmail.org,Eleanor,Smith,2013-09-16,p,Password238,801-633-6644,Ogden,UT,84047,East Ridge Middle,Both,2021-07-20 16:14:00
239,amelia.jones255@community.org,Amelia,Jones,2001-01-14,p,Password239,801-618-3948,Provo,UT,84294,Retail Store,Both,2021-07-20 16:14:00
240,oliver.white256@community.org,Oliver,White,1999-10-20,p,Password240,801-586-7154,Riverton,UT,84891,Tech Apprenticeship,Both,2021-07-20 16:14:00
241,ethan.rodriguez257@learners.net,Ethan,Rodriguez,2009-11-11,p,Password241,801-750-7439,Logan,UT,84183,North Summit High,Both,2021-07-20 16:14:00
242,victoria.smith258@ellarises.org,Victoria,Smith,2007-07-07,p,Password242,801-889-9920,Murray,UT,84475,Cafe Rio,Arts,2021-07-20 16:14:00
243,madison.thomas259@community.org,Madison,Thomas,2014-04-06,p,Password243,801-482-4088,Draper,UT,84159,Retail Store,STEM,2021-07-20 16:14:00
244,isabella.clark260@ellarises.org,Isabella,Clark,2011-04-28,p,Password244,801-268-2653,West Jordan,UT,84212,Westview High,Arts,2021-07-20 16:14:00
245,charlotte.thomas261@ellarises.org,Charlotte,Thomas,2002-11-15,p,Password245,801-439-9843,Bountiful,UT,84450,Retail Store,STEM,2021-07-20 16:14:00
246,camila.allen262@learners.net,Camila,Allen,2010-12-14,p,Password246,801-949-6224,West Jordan,UT,84836,Local Library,Both,2021-07-20 16:14:00
247,claire.thomas263@learners.net,Claire,Thomas,2007-04-11,p,Password247,801-733-4621,St. George,UT,84677,BYU,Arts,2021-07-20 16:14:00
248,amelia.scott264@studentmail.org,Amelia,Scott,2005-09-22,p,Password248,801-707-1768,Taylorsville,UT,84570,Tech Apprenticeship,Both,2021-07-20 16:14:00
249,leah.king265@learners.net,Leah,King,2006-06-11,p,Password249,801-352-5913,Taylorsville,UT,84419,North Summit High,Both,2021-07-20 16:14:00
250,jack.thomas266@studentmail.org,Jack,Thomas,2008-05-21,p,Password250,801-924-3365,Murray,UT,84879,Startup Lab,STEM,2021-07-20 16:14:00
251,noah.clark267@studentmail.org,Noah,Clark,2005-05-29,p,Password251,801-461-4331,Bountiful,UT,84249,Tech Apprenticeship,STEM,2021-07-20 16:14:00
252,lucas.white268@ellarises.org,Lucas,White,2013-02-09,p,Password252,801-474-7179,Sandy,UT,84053,Local Library,Both,2021-07-20 16:14:00
253,mia.jones269@studentmail.org,Mia,Jones,2004-10-19,p,Password253,801-413-6455,Sandy,UT,84491,Startup Lab,STEM,2021-07-20 16:14:00
254,hannah.gonzalez270@ellarises.org,Hannah,Gonzalez,2006-11-24,p,Password254,801-448-4350,Spanish Fork,UT,84937,Startup Lab,STEM,2021-07-20 16:14:00
255,claire.jackson271@community.org,Claire,Jackson,2004-12-01,p,Password255,801-864-6886,Riverton,UT,84547,BYU,Arts,2021-07-20 16:14:00
256,daniel.young272@community.org,Daniel,Young,2005-03-08,p,Password256,801-939-8692,Logan,UT,84823,Startup Lab,STEM,2021-07-20 16:14:00
257,zoe.lee273@community.org,Zoe,Lee,1998-05-13,p,Password257,801-426-3390,Provo,UT,84577,BYU,Both,2021-07-20 16:14:00
258,oliver.jackson274@studentmail.org,Oliver,Jackson,2010-10-12,p,Password258,801-435-7223,Sandy,UT,84338,Community Center,STEM,2021-07-20 16:14:00
259,jackson.scott275@learners.net,Jackson,Scott,2008-05-03,p,Password259,801-700-9037,Layton,UT,84782,North Summit High,Both,2021-07-20 16:14:00
260,stella.hernandez276@studentmail.org,Stella,Hernandez,2009-10-02,p,Password260,801-755-1962,Spanish Fork,UT,84189,Westview High,STEM,2021-07-20 16:14:00
261,charlotte.smith277@community.org,Charlotte,Smith,1999-07-11,p,Password261,801-845-4791,St. George,UT,84863,Art Studio,STEM,2021-07-20 16:14:00
262,olivia.wilson278@community.org,Olivia,Wilson,2012-10-14,p,Password262,801-832-8916,Draper,UT,84062,Mountain View High,STEM,2021-07-20 16:14:00
263,ava.wright279@community.org,Ava,Wright,2010-01-06,p,Password263,801-742-5501,Salt Lake City,UT,84018,BYU,STEM,2021-07-20 16:14:00
264,mateo.ramirez280@studentmail.org,Mateo,Ramirez,2001-05-04,p,Password264,801-298-9591,Logan,UT,84941,Valley Charter,STEM,2021-07-20 16:14:00
265,mason.taylor281@learners.net,Mason,Taylor,2006-05-15,p,Password265,801-606-2294,Layton,UT,84815,SLCC,Arts,2021-07-20 16:14:00
266,addison.anderson282@learners.net,Addison,Anderson,2000-02-05,p,Password266,801-865-1519,Ogden,UT,84670,SLCC,Arts,2021-07-20 16:14:00
267,leah.scott283@community.org,Leah,Scott,1999-11-09,p,Password267,801-209-3807,Provo,UT,84653,Mountain View High,Arts,2021-07-20 16:14:00
268,skylar.torres284@ellarises.org,Skylar,Torres,2002-09-28,p,Password268,801-243-4764,Pleasant Grove,UT,84942,Startup Lab,Both,2021-07-20 16:14:00
269,jack.moore285@ellarises.org,Jack,Moore,2010-08-22,p,Password269,801-487-9897,Ogden,UT,84701,Tech Apprenticeship,STEM,2021-07-20 16:14:00
270,layla.lee286@ellarises.org,Layla,Lee,1999-09-23,p,Password270,801-347-7525,Sandy,UT,84602,BYU,STEM,2021-07-20 16:14:00
271,lillian.torres287@community.org,Lillian,Torres,2013-06-17,p,Password271,801-973-3292,Lehi,UT,84394,Art Studio,STEM,2021-07-20 16:14:00
272,mateo.thompson288@ellarises.org,Mateo,Thompson,2005-08-22,p,Password272,801-437-2245,Logan,UT,84448,Local Library,Both,2021-07-20 16:14:00
273,james.lee289@ellarises.org,James,Lee,2003-02-12,p,Password273,801-661-9038,Layton,UT,84803,UVU,Both,2021-07-20 16:14:00
274,leah.ramirez290@studentmail.org,Leah,Ramirez,2003-07-12,p,Password274,801-990-5839,Bountiful,UT,84088,Art Studio,STEM,2021-07-20 16:14:00
275,abigail.moore291@studentmail.org,Abigail,Moore,2014-08-04,p,Password275,801-849-3527,Bountiful,UT,84729,SLCC,Arts,2021-07-20 16:14:00
276,natalie.miller292@ellarises.org,Natalie,Miller,2006-01-27,p,Password276,801-515-8286,Salt Lake City,UT,84966,Retail Store,Arts,2021-07-20 16:14:00
277,mila.rodriguez293@ellarises.org,Mila,Rodriguez,2007-02-25,p,Password277,801-659-9395,Orem,UT,84442,East Ridge Middle,STEM,2021-07-20 16:14:00
278,emily.thompson294@ellarises.org,Emily,Thompson,2004-07-18,p,Password278,801-594-1202,Lehi,UT,84885,SLCC,Arts,2021-07-20 16:14:00
279,abigail.scott295@studentmail.org,Abigail,Scott,2001-10-20,p,Password279,801-901-7237,Pleasant Grove,UT,84174,North Summit High,Arts,2021-07-20 16:14:00
280,brooklyn.moore296@community.org,Brooklyn,Moore,2004-03-10,p,Password280,801-371-8121,St. George,UT,84065,SLCC,Arts,2021-07-20 16:14:00
281,levi.jones297@learners.net,Levi,Jones,2011-04-27,p,Password281,801-452-9123,Layton,UT,84967,Local Library,STEM,2021-07-20 16:14:00
282,benjamin.miller298@studentmail.org,Benjamin,Miller,2011-11-29,p,Password282,801-605-6443,Murray,UT,84007,SLCC,Arts,2021-07-20 16:14:00
283,henry.perez299@community.org,Henry,Perez,2008-09-29,p,Password283,801-528-4290,St. George,UT,84308,UVU,STEM,2021-07-20 16:14:00
284,james.lee300@learners.net,James,Lee,2005-04-23,p,Password284,801-789-4971,Spanish Fork,UT,84991,SLCC,Arts,2021-07-20 16:14:00
285,james.white301@ellarises.org,James,White,2013-04-16,p,Password285,801-758-3947,Sandy,UT,84607,Retail Store,Both,2021-07-20 16:14:00
286,sophia.robinson302@studentmail.org,Sophia,Robinson,2007-03-06,p,Password286,801-498-2133,Riverton,UT,84817,Tech Apprenticeship,Arts,2021-07-20 16:14:00
287,camila.martin303@studentmail.org,Camila,Martin,2006-06-16,p,Password287,801-357-7932,Layton,UT,84675,East Ridge Middle,Arts,2021-07-20 16:14:00
288,levi.nguyen304@community.org,Levi,Nguyen,2010-03-12,p,Password288,801-908-7853,Pleasant Grove,UT,84946,Westview High,Arts,2021-07-20 16:14:00
289,sebastian.hill305@ellarises.org,Sebastian,Hill,2001-09-24,p,Password289,801-454-6816,Logan,UT,84788,Tech Apprenticeship,Both,2021-07-20 16:14:00
290,mia.torres306@community.org,Mia,Torres,1998-03-28,p,Password290,801-640-2735,Lehi,UT,84989,East Ridge Middle,Arts,2021-07-20 16:14:00
291,victoria.allen307@studentmail.org,Victoria,Allen,2013-03-29,p,Password291,801-600-8586,Riverton,UT,84384,Local Library,Both,2021-07-20 16:14:00
292,mateo.martinez308@learners.net,Mateo,Martinez,2007-05-01,p,Password292,801-307-5840,Salt Lake City,UT,84495,Startup Lab,STEM,2021-07-20 16:14:00
293,ella.martinez309@learners.net,Ella,Martinez,2009-09-08,p,Password293,801-666-4389,Murray,UT,84352,Mountain View High,Arts,2021-07-20 16:14:00
294,jack.miller310@community.org,Jack,Miller,1999-01-02,p,Password294,801-268-5919,Riverton,UT,84327,Retail Store,Both,2021-07-20 16:14:00
295,ella.johnson311@learners.net,Ella,Johnson,2009-07-29,p,Password295,801-368-4996,Logan,UT,84694,North Summit High,Both,2021-07-20 16:14:00
296,lily.perez312@community.org,Lily,Perez,2002-03-07,p,Password296,801-614-4022,Riverton,UT,84238,Tech Apprenticeship,Both,2021-07-20 16:14:00
297,william.sanchez313@ellarises.org,William,Sanchez,2006-09-21,p,Password297,801-806-8037,Sandy,UT,84461,Westview High,Both,2021-07-20 16:14:00
298,hannah.wilson314@learners.net,Hannah,Wilson,2002-03-12,p,Password298,801-304-9796,Ogden,UT,84592,UVU,Arts,2021-07-20 16:14:00
299,nora.robinson315@ellarises.org,Nora,Robinson,2012-05-02,p,Password299,801-701-9646,Layton,UT,84687,UVU,Both,2021-07-20 16:14:00
300,hazel.flores316@community.org,Hazel,Flores,2011-11-06,p,Password300,801-560-8501,Logan,UT,84357,North Summit High,Both,2021-07-20 16:14:00
301,brooklyn.flores317@ellarises.org,Brooklyn,Flores,2004-11-06,p,Password301,801-320-4908,St. George,UT,84321,East Ridge Middle,STEM,2021-07-20 16:14:00
302,zoe.martinez318@community.org,Zoe,Martinez,2007-06-28,p,Password302,801-341-7286,Taylorsville,UT,84611,North Summit High,Arts,2021-07-20 16:14:00
303,sebastian.lopez319@studentmail.org,Sebastian,Lopez,2005-01-21,p,Password303,801-343-4065,Spanish Fork,UT,84296,Community Center,Arts,2021-07-20 16:14:00
304,charlotte.thompson320@ellarises.org,Charlotte,Thompson,2010-08-06,p,Password304,801-399-7290,Spanish Fork,UT,84140,Cafe Rio,Both,2021-07-20 16:14:00
305,jackson.clark321@community.org,Jackson,Clark,2001-10-02,p,Password305,801-654-9006,Taylorsville,UT,84728,East Ridge Middle,Both,2021-07-20 16:14:00
306,sophia.anderson322@learners.net,Sophia,Anderson,2004-06-22,p,Password306,801-430-9808,Provo,UT,84282,North Summit High,Arts,2021-07-20 16:14:00
307,jackson.scott323@ellarises.org,Jackson,Scott,2006-03-25,p,Password307,801-993-9898,Logan,UT,84275,Cafe Rio,STEM,2021-07-20 16:14:00
308,henry.wright324@studentmail.org,Henry,Wright,2004-09-04,p,Password308,801-953-5055,Taylorsville,UT,84105,Community Center,STEM,2021-07-20 16:14:00
309,lucas.taylor325@learners.net,Lucas,Taylor,2002-09-16,p,Password309,801-320-4882,Ogden,UT,84450,Retail Store,Both,2021-07-20 16:14:00
310,kennedy.flores326@community.org,Kennedy,Flores,2002-08-23,p,Password310,801-342-4385,Orem,UT,84631,Retail Store,STEM,2021-07-20 16:14:00
311,kennedy.wright327@learners.net,Kennedy,Wright,2004-06-28,p,Password311,801-920-5794,Orem,UT,84332,Local Library,Arts,2021-07-20 16:14:00
312,daniel.miller328@studentmail.org,Daniel,Miller,2012-09-17,p,Password312,801-260-5543,Taylorsville,UT,84941,North Summit High,Both,2021-07-20 16:14:00
313,sofia.thomas329@studentmail.org,Sofia,Thomas,2008-12-23,p,Password313,801-453-7434,Lehi,UT,84849,North Summit High,Both,2021-07-20 16:14:00
314,paisley.clark330@community.org,Paisley,Clark,2007-01-14,p,Password314,801-848-2525,Riverton,UT,84078,Cafe Rio,Both,2021-07-20 16:14:00
315,penelope.white331@community.org,Penelope,White,2014-06-08,p,Password315,801-795-1040,Spanish Fork,UT,84336,East Ridge Middle,Both,2021-07-20 16:14:00
316,benjamin.thompson332@ellarises.org,Benjamin,Thompson,2009-02-04,p,Password316,801-639-4470,Bountiful,UT,84224,BYU,Arts,2021-07-20 16:14:00
317,aurora.perez333@studentmail.org,Aurora,Perez,1999-01-12,p,Password317,801-551-1793,Spanish Fork,UT,84808,East Ridge Middle,Both,2021-07-20 16:14:00
318,benjamin.johnson334@ellarises.org,Benjamin,Johnson,2007-08-06,p,Password318,801-667-1011,Orem,UT,84452,Valley Charter,Both,2021-07-20 16:14:00
319,sofia.martin335@studentmail.org,Sofia,Martin,2003-08-14,p,Password319,801-870-6905,Layton,UT,84096,East Ridge Middle,Arts,2021-07-20 16:14:00
320,chloe.brown336@community.org,Chloe,Brown,2007-08-18,p,Password320,801-916-4836,Murray,UT,84744,Tech Apprenticeship,STEM,2021-07-20 16:14:00
321,elizabeth.smith337@studentmail.org,Elizabeth,Smith,2009-08-26,p,Password321,801-335-4705,Spanish Fork,UT,84080,Tech Apprenticeship,Arts,2021-07-20 16:14:00
322,olivia.smith338@learners.net,Olivia,Smith,2008-09-18,p,Password322,801-632-3165,Logan,UT,84881,East Ridge Middle,STEM,2021-07-20 16:14:00
323,hazel.garcia339@ellarises.org,Hazel,Garcia,2001-01-28,p,Password323,801-576-5902,Logan,UT,84321,SLCC,STEM,2021-07-20 16:14:00
324,aria.jones340@ellarises.org,Aria,Jones,2012-02-02,p,Password324,801-559-4490,Orem,UT,84451,Art Studio,STEM,2021-07-20 16:14:00
325,noah.flores341@community.org,Noah,Flores,2014-11-17,p,Password325,801-302-3293,Sandy,UT,84089,East Ridge Middle,Both,2021-07-20 16:14:00
326,hazel.thompson342@community.org,Hazel,Thompson,2004-03-18,p,Password326,801-343-5059,Lehi,UT,84811,Tech Apprenticeship,STEM,2021-07-20 16:14:00
327,addison.scott343@learners.net,Addison,Scott,2002-08-11,p,Password327,801-874-5942,Salt Lake City,UT,84869,Cafe Rio,Both,2021-07-20 16:14:00
328,daniel.gonzalez344@community.org,Daniel,Gonzalez,2009-02-06,p,Password328,801-255-4921,Murray,UT,84662,SLCC,STEM,2021-07-20 16:14:00
329,lillian.young345@ellarises.org,Lillian,Young,2005-02-05,p,Password329,801-212-6916,Pleasant Grove,UT,84911,North Summit High,Arts,2021-07-20 16:14:00
330,oliver.white346@studentmail.org,Oliver,White,1998-05-17,p,Password330,801-988-2195,Spanish Fork,UT,84978,Local Library,STEM,2021-07-20 16:14:00
331,olivia.taylor347@studentmail.org,Olivia,Taylor,2009-05-13,p,Password331,801-261-7520,Provo,UT,84945,BYU,Both,2021-07-20 16:14:00
332,mateo.clark348@community.org,Mateo,Clark,2010-01-22,p,Password332,801-855-9791,Bountiful,UT,84085,Local Library,STEM,2021-07-20 16:14:00
333,penelope.garcia349@learners.net,Penelope,Garcia,2010-01-12,p,Password333,801-408-3545,Ogden,UT,84524,UVU,Arts,2021-07-20 16:14:00
334,harper.martin350@community.org,Harper,Martin,2007-09-30,p,Password334,801-450-2412,West Jordan,UT,84060,East Ridge Middle,Arts,2021-07-20 16:14:00
335,amelia.martin351@studentmail.org,Amelia,Martin,2013-09-25,p,Password335,801-924-3248,Logan,UT,84013,Westview High,STEM,2021-07-20 16:14:00
336,jackson.thompson352@learners.net,Jackson,Thompson,2014-06-10,p,Password336,801-329-5403,Orem,UT,84381,Startup Lab,STEM,2021-07-20 16:14:00
337,sophia.perez353@community.org,Sophia,Perez,2013-12-23,p,Password337,801-265-5308,Layton,UT,84537,Local Library,Both,2021-07-20 16:14:00
338,evelyn.young354@community.org,Evelyn,Young,2010-09-18,p,Password338,801-256-9185,Pleasant Grove,UT,84369,North Summit High,Arts,2021-07-20 16:14:00
339,lily.taylor355@ellarises.org,Lily,Taylor,1998-01-22,p,Password339,801-958-9336,Logan,UT,84234,Westview High,STEM,2021-07-20 16:14:00
340,addison.williams356@community.org,Addison,Williams,1998-10-17,p,Password340,801-353-3932,Draper,UT,84393,Cafe Rio,Both,2021-07-20 16:14:00
341,oliver.anderson357@learners.net,Oliver,Anderson,2004-02-01,p,Password341,801-937-6241,West Jordan,UT,84427,Community Center,STEM,2021-07-20 16:14:00
342,zoe.davis358@ellarises.org,Zoe,Davis,2006-12-29,p,Password342,801-728-1752,Orem,UT,84229,East Ridge Middle,Arts,2021-07-20 16:14:00
343,aurora.martin359@learners.net,Aurora,Martin,2006-04-11,p,Password343,801-667-1130,Ogden,UT,84567,Valley Charter,Arts,2021-07-20 16:14:00
344,brooklyn.flores360@studentmail.org,Brooklyn,Flores,2002-05-20,p,Password344,801-805-9083,Riverton,UT,84378,Art Studio,Both,2021-07-20 16:14:00
345,olivia.perez362@ellarises.org,Olivia,Perez,2000-05-01,p,Password345,801-955-6038,Bountiful,UT,84870,Valley Charter,Both,2021-07-20 16:14:00
346,lillian.clark363@community.org,Lillian,Clark,2000-02-02,p,Password346,801-345-5584,Provo,UT,84996,Westview High,STEM,2021-07-20 16:14:00
